EntryId,Username,EntryNumber,EntryTotal,Points,T1,T2,T3,T4,T5,T6
3679705583,lottabeans,1,1,265.75,Giannis Antetokounmpo,Anthony Edwards,De'Aaron Fox,Evan Mobley,Brook Lopez,KJ Martin
3679813150,kdog2380,1,1,250.25,Giannis Antetokounmpo,Domantas Sabonis,Bam Adebayo,Dejounte Murray,Jarrett Allen,KJ Martin
3679890431,bkreider,1,1,249.25,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Evan Mobley,Jarrett Allen,Jeremy Sochan
3679477930,russellfonner,1,1,239.0,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Tyler Herro,Jalen Green,Clint Capela
3679450159,give_me_money1,1,1,238.5,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Dejounte Murray,Zach Collins,Jeremy Sochan
3679833922,Jonolo,1,1,233.0,Giannis Antetokounmpo,Trae Young,De'Aaron Fox,Tyler Herro,Jalen Green,Kyle Anderson
3679635563,Russian_Doll,1,1,229.0,Giannis Antetokounmpo,Anthony Edwards,De'Aaron Fox,Alperen Sengun,Jarrett Allen,Jeremy Sochan
3679762126,Motorcycle1300,1,1,226.0,Joel Embiid,Domantas Sabonis,De'Aaron Fox,Dejounte Murray,Jalen Green,Clint Capela
3679419157,gregr1224,1,1,222.75,Giannis Antetokounmpo,Anthony Edwards,Jimmy Butler,Alperen Sengun,Jarrett Allen,Jaden Ivey
3679966838,rcarr35,1,1,207.25,Joel Embiid,Donovan Mitchell,De'Aaron Fox,Dejounte Murray,Jarrett Allen,Jeremy Sochan
